Electricity Generation*,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-25,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,41.632,41.82,43.473,45.021,44.331,42.141,40.862,35.61,37.997,38.133,41.789,42.716,42.803000000000004,41.711,38.248,40.924,43.968,42.679,42.6,41.620811,44.364483,45.843021,43.296861,45.036218999999996,42.96339,46.652557,50.796608,47.293127,43.815948,47.489649,49.223898999999996,45.279416,45.612791,46.837683,44.276591,40.754441,47.568096,50.499303999999995,40.255508,38.535175,40.10608424327037,0.043617005142149834,-0.020276726137691048,0.0012454568015022554
Croatia,0,0,0,0,0,8.8732,8.6051,8.9021,9.563799999999999,8.7729,9.2758,11.1727,10.2484,11.461500000000001,12.9794,11.2812,12.8085,12.7724,13.2521,13.989700000000001,13.1615,13.047,12.7077,12.8905,13.449661,14.90256,11.372169,10.754956,14.053265,13.552842,11.402376,12.819812,11.9835,13.6317,12.760299999999999,13.385299999999999,15.2104,14.2205,17.5413,15.3604,14.530295171661418,-0.05145020966062186,0.024537615239498045,0.0004512246780217062
Cyprus,1.319,1.423,1.5010000000000001,1.647,1.831,1.974,2.077,2.43,2.59,2.685,2.497,2.609,2.728,2.991,3.1390000000000002,3.37,3.551,3.785,4.0520000000000005,4.2010000000000005,4.377,4.652,4.871,5.079,5.215,5.322,4.929,4.7170000000000005,4.29,4.352,4.534590000000001,4.88801,5.00437,5.0488800000000005,5.141491,4.849201,5.119423,5.267931,5.329087,5.763191,5.890851946727543,0.024951501196045056,0.026511946866725422,0.00018293487789014718
Czech Republic,58.121,60.606,62.196,64.334,65.131,62.559000000000005,60.528,59.293,58.881,58.705,60.847,64.257,64.598,65.112452,64.694232,73.46491800000001,74.647397,76.347477,83.226141,84.333903,82.578571,84.359019,88.19909600000001,83.645492,82.185712,85.903,87.477,87.418,86.913,86.01349351019998,83.89375837130005,83.30563248200002,87.04128794699996,88.00237999999999,86.99123651599999,81.50301441720389,84.99880604613057,84.7016262923183,76.9434605586084,73.88177521826796,76.25039768336647,0.034887191822560615,-0.009507374998770524,0.002367884529338852
Denmark,29.143044444444445,30.783088888888887,29.48931111111111,28.0695,22.93352222222222,25.97718888888889,36.540499999999994,30.73337777777778,33.96900277777778,40.19660555555556,36.663050000000005,53.577580555555556,44.31163611111111,41.110688888888895,38.91459444444445,36.04884166666667,37.72620833333334,39.28264444444444,46.17945833333333,40.43985,36.24135,45.602291666666666,39.315469444444446,36.616147222222224,36.384475,38.86278888888889,35.22922777777778,30.701933333333336,34.74216666666666,32.18255,28.934333333333335,30.535544444444444,31.02254722222222,30.370174,29.516955000000003,28.728658,33.050615,35.332288,34.068992,35.317578000000005,33.96872461940761,-0.0355570356957976,0.01617048396055032,0.0010548668590775522
Estonia,17.827,17.951,17.900000000000002,17.627,17.611,17.181,14.627,11.829,9.118,9.152000000000001,8.693,9.103,9.218,8.521,8.265,8.51,8.481,8.524000000000001,10.158,10.302,10.201,9.729000000000001,12.188,10.579,8.777000000000001,12.962,12.892,11.966000000000001,13.274000000000001,12.43,10.417,12.17,13.16,12.364,7.615,6.079,7.204459,8.936849,5.745043,6.367833,6.539657530089701,0.0297968555449164,-0.04548834836367621,0.0002030829262947138
Finland,49.394,48.948,53.016,53.491,53.359,54.377455000000005,57.98552,57.724593999999996,61.078672,65.630751,64.034837,69.37298200000001,69.176208,70.167292,69.457417,69.97490300000001,74.487387,74.957177,84.32735000000001,85.84537200000001,70.583575,82.312332,81.246346,77.43334,72.070997,80.672761,73.502395,70.409766,71.258443,68.093524,68.598087,68.757176,67.524666,70.263128,68.650852,69.267072,72.120231,72.186834,81.540775,83.152987,83.02367267125787,0.001180327871630471,0.019269417388729115,0.0025782222265058334
France,344.4654209,362.99550150000005,378.4863311,392.0872209,404.8500230000001,420.75100000000003,455.555,463.639,472.707,476.868,494.274,513.398,504.77000000000004,511.276,525.806,539.9540000000001,549.5310000000001,559.064,566.838,574.054,576.062,574.869,569.768,573.807112,535.925197,569.288113,566.0948467141095,565.5484761974558,575.6713987449216,565.2186671249739,572.1225398751928,556.6908186396986,553.8113194212141,574.7914618099874,563.3110458150104,524.8522870587557,547.7097069094625,467.1939316429116,516.5802450111203,562.0324997920793,571.7644180809245,0.0201027452163014,-6.261293422960001e-05,0.01775560732971221
Germany,522.534,523.557,532.442,549.492,559.873,549.9,540.2220000000001,538.1657000000001,527.118,528.4692,536.8209999999999,552.669,552.324,557.2170000000001,556.3010000000002,576.5500000000001,586.3805,586.6850000000001,609.0585804441367,617.7748173659018,622.8247944014648,639.9258689747643,641.4119859107414,641.6112476810545,596.7338456703012,633.8354413898104,614.1567646084158,630.6865805192901,639.394738122409,628.4069068908609,648.9431816391922,651.1470842661263,654.3222731416434,643.5013842680459,610.2512643300769,576.8082037557742,592.8470293391686,578.8867486259386,511.26496783310967,503.1787770050205,507.5287432184161,0.011408382434193953,-0.024279573549834454,0.015760828740226183
Greece,27.740000000000002,28.237000000000002,30.272000000000002,33.394,34.456,35.003,35.815,37.411,38.396,40.624,41.552,42.567,43.506,46.329,49.632,53.843,53.704,54.608000000000004,58.471000000000004,59.345781,60.020138,60.789713000000006,63.496842,63.74988,61.340348,57.404917000000005,59.43657100000001,60.959086000000006,57.152533000000005,50.47329,51.874401,54.437934999999996,55.266089,53.26278500000001,48.625991000000006,48.251884,54.715129000000005,52.670055,49.916633000000004,57.924399,57.573770799742135,-0.0033300620331409014,0.01047868734673374,0.0017878994118629944
