Electricity Generation*,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-25,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,28.4649788351637,29.3450734786848,29.752597430683952,31.086195569350398,31.358,32.61435176830056,33.63915426556432,33.210973678589156,34.61563138758013,35.19550839067087,36.409750512684035,36.80440982480865,37.44344755272408,37.775845123441584,37.95988408728178,39.38794135115069,39.705110217423965,40.731008879341076,40.85524472867674,42.76838184267279,42.98083624517688,43.53799378036397,43.89349657224825,43.92571616664815,43.5462072341957,44.99372329406035,44.6272992834937,44.24731786828622,43.2526586273454,44.03888187006035,44.74496380422942,44.1825995004508,44.64015899343966,44.74972416599651,45.21631556958606,44.599406826702946,44.5897806343544,44.740927850336455,44.64789736618191,45.175724498863474,45.19958388449291,0.003269319167842344,0.0010114094299498166,0.0014036306519617245
Pakistan,28.825,32.348,36.347,40.671,42.806,45.985,50.22,53.575,57.012,57.923,63.75,67.565,62.481,66.396,65.302,63.735,70.6485,74.431,76.986,82.3055,88.76422141529586,96.7200128853283,99.3809963798631,93.1883585365183,98.8277565747034,99.38471900684017,100.6214228828661,99.46126082736107,100.96799565222877,106.28797538823977,110.52761907439623,115.87569608685735,127.33981069258455,137.2486246039076,138.67076371491058,138.21048079300212,152.7931714831559,153.8322741807011,148.50478003323204,151.25584194546482,169.7476651005286,0.12532993772276568,0.043838472362987435,0.005271354409874972
Philippines,22.766000000000002,20.974,22.642,24.539,25.573,26.327,25.649,25.87,26.579,30.459,33.554,36.707,39.797000000000004,41.578,41.432,45.29,47.049,48.467436,52.940537000000006,55.95743,56.56774,56.78413,59.611788000000004,60.820985,61.934432,67.742759,69.17564999999999,72.922011,75.265842,77.260997,82.413213,90.797891,94.370341,101.06469695815481,107.54943257020633,103.27328623228414,107.769204,113.28463400000001,119.938897,129.053823,129.27449361899443,0.0044543222391868476,0.046047967392245814,0.004014498058746601
Singapore,9.876299999999999,10.5765,11.813799999999999,13.0175,14.0389,15.617600000000001,16.5966,17.5431,18.962400000000002,20.675400000000003,22.0574,23.9094,26.709400000000002,28.3748,29.52,31.665,33.061,34.6646,35.2815,36.809599999999996,38.2127,39.4804,41.1341,41.670597,41.80183050885524,45.36916456619006,46.00433400754391,46.94423186765177,47.97585269799015,49.336870008086805,50.32025702869356,51.5866,52.225300000000004,52.9046,54.1423,53.07158519867644,55.78828579334227,57.11366419126598,57.384243908239256,59.616080000000004,60.41029,0.01609830173060045,0.018443186350528773,0.0018759848531921532
South Korea,62.667201000000006,69.68059699999999,80.251348,93.10884700000001,103.623614,118.460795,131.616144,146.43928400000001,161.900951,183.365532,203.546465,225.845719,246.58747100000002,237.19740600000003,262.152146,290.44294800000006,309.885952,332.020947,347.756209,368.03355200000004,389.479512,402.988942,425.407289,442.610958,452.44746100000003,495.0283630419549,518.1678157583103,531.2018659366054,537.169275961,540.3787987172649,547.8018026731601,560.984590091265,576.412126699943,592.90462860374,586.806003805959,577.1119011619401,607.767902722756,622.5851297960049,620.954465333033,627.7842144983889,627.8351802728401,0.0028211320352733438,0.013729813212524089,0.01949683222002432
Sri Lanka,2.465,2.6517,2.7072,2.7984,2.8579000000000003,3.1498000000000004,3.3771,3.5397,3.9787,4.38672,4.80042,4.52796,5.14394,5.67539,6.28075,6.9697,6.8008999999999995,7.10429,8.12485,8.74352,8.84822,9.4979,9.90056,10.00328,9.98688,10.80074,11.599870000000001,11.897620000000002,12.029010000000001,12.86748,13.2255,14.36132,14.9837,16.2166,16.8413,16.916900000000002,17.9477,16.828500000000002,16.291876488095294,18.231007393848724,19.636496446102527,0.08004426969551126,0.040315790122141815,0.0006097929657786758
Taiwan,55.556760512000004,62.33384877300001,69.179058901,76.26122125899998,84.057801475,90.193523466,99.177527424,105.529764483,115.206014617,124.63486282500001,133.116701786,141.96245961399998,150.486408919,163.227884343,169.064533143,184.84078646700002,188.530441505,198.82888868999999,209.07238710500002,218.396631892,227.512250072,235.530125508,243.11658395100002,238.305365274,230.037159302,247.05886694400002,252.167014206,250.37342478500003,252.340814475,259.96393542,258.14188767400003,264.107656962,270.25640661799997,275.497101997,274.14119133900004,280.172269289,291.41399683100997,288.40744805,282.819502274,289.105647872,288.931446107,0.00213552119295235,0.011331729431811155,0.00897249485985975
Thailand,23.02995,24.669810000000002,28.573610000000002,32.41324,37.35338,44.11251,50.12039,57.028150000000004,63.33733,71.10243,79.73721,86.99163,92.66128,89.53300999999999,90.21529,95.52127,100.98719,108.44169000000001,115.93462,124.13266,130.42631,136.76671,142.53754,145.43735999999998,145.90669999999997,157.57502111200006,153.31550677399989,168.956182883,168.63366132727987,173.764180391,184.35,187.64000000000001,185.51,187.366,197.267,185.602,186.699,191.323,205.239,217.311,200.497,-0.07484523632344853,0.008431663858264882,0.006226246143007544
Vietnam,5.069,5.527,6.051,6.785,7.784,8.681000000000001,9.21,9.705,10.662,12.288,14.648,16.944,19.132,21.688,23.559,26.561,30.608,35.796,40.925000000000004,46.209,52.078,57.917,64.147,70.96000000000001,80.643,91.72200000000001,101.499,115.147,124.45400000000001,141.25,161.92829,179.16729,194.716992,217.184,236.88600000000002,244.44706530000002,254.98011830000002,267.29275960000007,281.99959152185244,310.63269942225145,329.0439595505418,0.0621723033806445,0.0734779281240221,0.010218151314141811
Other Asia Pacific,38.36784047768241,39.775421020202,41.9476255634933,44.55016805137209,46.62573005743269,45.61073608863635,44.62125307389898,43.32679579777778,41.82334562474746,43.39877126671717,44.34764240916161,43.76011743864645,42.288214046252534,41.542834168030296,44.8464837200303,48.30965127315151,49.7940288360303,50.03376952860607,52.70517067436363,54.62276460970706,57.21471705695958,60.71356313999999,64.78453475949055,67.82167655901009,66.54750578555233,73.74674134782434,78.24486852806672,79.56189992819098,88.40397715596905,91.11466074556127,93.58728628219724,112.18940147727244,122.93760853709365,130.62733045973025,132.56987384689353,144.5002850075714,152.41675073657422,161.5940131131158,168.43712207508068,177.20141777905334,185.60286885805772,0.05028149436526497,0.07087007617967789,0.005763722880435202
Total Asia Pacific,1724.8803088692903,1816.7440405607747,1972.5833412062882,2125.0546920797224,2289.0170894657663,2469.6913630895765,2636.3148183736735,2780.683602213261,2919.0674029479987,3176.0391663983896,3395.667449301714,3571.708242806449,3742.7045394408633,3849.332020830865,4039.122553398978,4286.5904779158145,4478.650526823166,4762.889241353421,5099.389539799878,5568.064670455493,5971.900860322766,6457.727712628759,7016.024938440378,7303.550010813955,7537.770615908457,8257.982947392755,8875.138797444903,9276.196773270283,9811.616555505236,10333.341079569407,10440.474834256203,10983.932551384276,11611.507326149278,12409.66119708821,12813.384037567686,12999.765222008828,14011.770897668568,14548.024581193904,15300.360872905185,16175.458475912703,16737.31672953071,0.03757011999354809,0.04832648593524369,0.5197616609302693
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,9886.064755686175,10180.78992049387,10670.627616567983,11140.626923726717,11657.958720434019,11961.414280325302,12222.524831383753,12336.403720564187,12599.927305794161,12923.577569257199,13381.86733758041,13797.15535418776,14128.603551655526,14511.012474748904,14926.271453259487,15564.70473211909,15800.009357987838,16358.206426813174,16935.835149354363,17737.343827160283,18464.68650177023,19167.655987187834,20060.18945439007,20437.416466972343,20279.10136316816,21606.400953529628,22288.606885146546,22840.452264508418,23481.19372228446,24087.823802022594,24325.995964889284,24994.850588220426,25742.56903308336,26780.929957783123,27161.270201311425,27060.72549887661,28595.07896912103,29254.34572703547,30049.40486054086,31347.074703458657,32201.90711945599,0.03008436442588658,0.028445059581671872,1
of which: OECD,6564.139137914016,6670.728626166786,6952.484795031094,7235.737055310679,7607.38172107915,7815.3912941241715,7990.249199275471,8052.523883736488,8234.251680533347,8456.430425638271,8721.538094209782,8966.309383429525,9134.55918973421,9373.980971718827,9585.811198305835,9914.204592517102,9910.747913879644,10138.201871264455,10256.815621670194,10507.079037469863,10744.141322942376,10832.398587059906,11072.616905857825,11080.279126591482,10650.34822342116,11088.857781765939,11036.84771254387,11042.579474493836,11041.1146286734,10986.66304166234,11034.89636046254,11137.741710992826,11185.900578551067,11369.811576065285,11242.725379769576,10969.979164434506,11289.380882805392,11388.446934840616,11236.321272882318,11514.986893916443,11740.21599778252,0.022352963279398397,0.0062149898912706725,0.36458138812186147
                 Non-OECD,3321.9256177721627,3510.061294327088,3718.1428215368896,3904.8898684160467,4050.5769993548693,4146.022986201127,4232.2756321082825,4283.879836827703,4365.675625260811,4467.1471436189195,4660.329243370629,4830.845970758236,4994.044361921313,5137.031503030082,5340.4602549536585,5650.500139601995,5889.26144410819,6220.004555548727,6679.019527684159,7230.264789690398,7720.545178827861,8335.257400127926,8987.572548532253,9357.137340380837,9628.75313974699,10517.543171763675,11251.759172602668,11797.872790014571,12440.079093611053,13101.160760360239,13291.099604426749,13857.108877227614,14556.668454532293,15411.118381717826,15918.544821541866,16090.746334442121,17305.698086315624,17865.89879219485,18813.083587658504,19832.087809542223,20461.69112167347,0.0345734017742676,0.04409030040301287,0.6354186118781384
                 European Union #,2023.1204571444443,2076.1256071888893,2148.0534258111115,2197.9793563,2247.1223768282834,2273.993453528889,2317.121097276521,2303.5114760414067,2303.9266736256213,2339.2656139435544,2409.0315917199996,2492.0421321555555,2508.0616851323116,2562.5675850346893,2587.9459632444446,2659.527492157117,2734.7991806636637,2756.1604568535768,2838.4394389174454,2909.396177105902,2927.824314918264,2973.1451130687906,2987.3549469231866,2999.369545248937,2848.1950418365304,2982.3288069369405,2933.8474621711966,2933.4424412559138,2914.0407456526145,2852.368839377585,2900.5054648114874,2921.6776698877534,2953.3474635696343,2939.161677672983,2897.1879416128872,2783.4599174911677,2908.581614294762,2815.2766125611697,2740.9318104028384,2808.914929029066,2853.793792177119,0.01876079468719305,-0.0016222582927946094,0.08862188756680478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 * Based on gross output.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ♦ Less than 0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ^ Less than 0.05.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 # Excludes Croatia and Slovenia prior to 1990.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Annual changes and shares of total are calculated using terawatt-hours figures. Growth rates are adjusted for leap years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
