Renewables: Renewable power generation (excl hydro)*,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-25,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.006,0.010499999999999999,0.010499999999999999,0.018499999999999996,0.0601,0.0662,0.0874,0.17660000000000003,0.23479999999999998,0.37170000000000003,0.5544,0.8203,1.0951,1.4364,1.7622,1.7103997093736998,1.8241404554852436,2.059244301068392,2.910186848607189,3.8984569760154164,4.348789530163458,5.542005559668148,5.818778653845485,6.7573409751567315,8.055654317172436,9.495704742118084,9.79041057660148,9.180121565051376,10.27875824847914,10.070993491504373,10.044507591993398,12.409513888888888,14.164338888888889,14.819805555555554,15.954319444444444,17.975872222222222,18.937980555555555,18.370753111111114,21.780044111111113,20.745019555555558,23.05624877777778,23.429803,26.081682000000004,28.454812,29.302646,31.386402,31.0224642028995,-0.008887439359561378,0.05059241885179144,0.004947711817977147
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.005,0.008,0.012,0.013000000000000001,0.055,0.022,0.028399999999999998,0.032100000000000004,0.0386,0.0869,0.11429999999999998,0.127,0.171,0.5091,1.0191,1.1512,1.4353,1.2269,1.4031,1.5638999999999998,1.5532,1.846,1.9988000000000001,2.1235,2.9405,2.8555330000000003,2.833152,2.7811120000000003,3.566974,3.93082523777126,0.10502476945005257,0.09654756695886224,0.0006269195882094351
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.156454999999999,4.9995199999999995,4.952594,5.9626719999999995,6.472751,6.619837,5.900982,7.9092080000000005,9.357292,8.413416999999999,8.718601,8.343567,9.054678999999998,9.474382999999998,10.562261999999999,9.684789,10.97296,10.147096000000001,10.669101999999999,9.014923000000001,11.273270000000002,11.731526000000002,11.700058,12.791066,12.873575,13.758026,14.612830000000002,16.705242,18.839118,19.463986,20.043999,22.383378,25.174871,27.102028000000004,32.374015,34.71327203432586,0.07519493301076263,0.09696795900222366,0.005536351501981491
France,0,0.39,0.605,0.926,1.067,1.3702458,1.3918224,1.5151953,1.5500864,1.5770592,1.4158849,1.3329,1.3745814,1.4183881,1.4840102000000002,1.4710235,1.4921525,1.52734,1.5587000000000002,1.6223,1.65215,1.6628,1.7506,1.77325,1.84145,1.913271526,2.102489604,2.1359776040000003,1.97808518,2.1635825,2.3357542000000002,2.4330805,2.6895352000000003,2.6765857,2.8944919300000005,3.03922325,3.4711605,3.80910345,4.1127673,4.385447984,4.84450076,6.03490605,8.304,10.172,12.664000000000001,15.482,20.159909618750106,25.187724857003747,27.222001702719282,30.097242917444582,36.16297394720736,37.619965897950905,41.71221207849436,48.42487335555991,55.65851768652282,62.03945619015598,61.593830114485414,67.61380031757722,82.83845305675955,81.45971845900735,92.837340403516,0.14279414466893847,0.09886883156486115,0.014806444880065722
Germany,0,0,0,0,0,0.9200201613000001,1.001028226,1.01874874,1.0531048390000002,1.07625,1.124710181,1.277685232,1.246583921,1.317465978,1.443317792,1.96625378,1.804237651,1.798813004,1.540238155,1.642944808,1.644029738,1.596569556,1.447849294,1.645881804,1.775267893,1.507,1.612,1.839,2.266,2.819,3.554,4.181,5.274000000000001,7.2219999999999995,8.487,12.9,15.8,22.400000000000002,28.446346505331814,37.286552014771836,43.90131821741947,52.76519817104101,68.82832374965737,74.66347723918365,77.94132117562904,85.4936000106835,107.9756958970608,123.33672617140448,130.6776866768353,144.1555376121285,171.09760551234615,170.55951377599985,197.52393077318123,207.1936933584958,223.4526849609874,234.8188248065348,220.00547649234568,237.88166408107918,255.20822129572431,265.60334453645874,273.27068895265063,0.03168646558245802,0.04793636668480894,0.04358340486412477
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.009000000000000001,0.048,0.038,0.035,0.038,0.036000000000000004,0.07,0.163,0.451,0.835,0.777,1.1260000000000001,1.2457030000000002,1.3889250000000002,1.814864,2.00342,2.438592,2.810572,3.061685,4.132353,5.748437000000001,8.003646,7.700120999999999,8.752081,9.349841999999999,9.838492,10.404981,12.096884,14.210511999999998,16.233164000000002,18.591569,20.570187,24.109388,21.68872458585218,-0.09793870549094441,0.09499533397599369,0.0034590920388665554
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.024,0.046,0.039,0.045,0.056,0.05,0.053,0.06,0.065,0.065,0.07100000000000001,0.043000000000000003,0.165,0.731,1.6680000000000001,1.307,1.673,2.1439999999999997,2.667,2.825,2.4859999999999998,2.434181,2.574905,2.84954,2.995,2.9990000000000006,3.2600000000000002,3.5440000000000005,4.471,5.285000000000001,6.702999999999999,7.484000000000001,9.151,11.705600000000002,13.570168000000002,0.16246467865515246,0.16310477788791689,0.0021642794120545717
Iceland,0,0,0,0,0.001904,0.012091000000000001,0.012033,0.021664000000000003,0.0242,0.005751,0.018347000000000002,0.019012,0.016126,0.018285,0.045630000000000004,0.04467200000000001,0.12313299999999999,0.15896800000000005,0.171714,0.173233,0.17123299999999997,0.212339,0.234136,0.24560800000000002,0.25750799999999996,0.28291000000000005,0.26702499999999996,0.229769,0.25427200000000005,0.258365,0.288177,0.343134288,0.37307241,0.652658067,1.135673,1.3226630000000001,1.4508629999999998,1.4304200153020006,1.4046782756394998,1.48238277502431,1.6590298229999998,2.63259802256,3.5806526811578947,4.037937016578947,4.55308681,4.4653225690000005,4.701470946000001,5.20950492,5.2504766730000005,5.2467503440000005,5.013876414,5.076489361,5.177725551,6.014196999999999,6.024707487,5.967262494,5.8076870000000005,5.9218519999999994,6.013456,5.998381,5.643586000000001,-0.056570784774749194,0.011901296273537199,0.0009000844344712175
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050009,0.0150027,0.01900342,0.01600288,0.041007379999999996,0.13102358,0.25404572000000003,0.27805004,0.33906102,0.43107757999999996,0.46908441999999995,0.5400971999999999,0.76413752,1.2423955909599997,1.750788985302,2.167993,2.6670299999999996,3.264921,3.1762740000000003,4.789620000000001,4.520309,5.103416000000001,5.767086,7.16214,6.9325030000000005,8.312202,9.649019,11.073541,12.719140000000001,11.0193,12.555844,13.340689000000001,13.746051000000001,14.802415468101474,0.0797988477583691,0.07529834743897457,0.0023608081378425198
Italy,2.676,3.351,3.4749999999999996,3.617,3.8120000000000003,4.228,4.209,3.807,3.8449999999999998,4.245,3.986,3.8120000000000003,3.73,3.811,3.825,3.96,3.4690000000000003,3.521,3.393,3.472,2.836,3.0250000000000004,3.2430000000000003,3.339,3.336020202020202,3.2769191919191925,3.2998787878787876,3.566919191919192,3.7978383838383842,3.581717171717172,3.6756363636363636,4.184666666666667,4.603000000000001,5.257000000000001,5.950000000000001,6.68,7.5360000000000005,8.797,10.196,11.533,12.372000000000002,13.641000000000002,14.899999999999999,16.54,20.1187,25.8476,37.1388,50.34740000000001,59.234899999999996,62.1334,63.3668,65.5902,67.699,65.62819999999999,69.5284,69.363,70.9509,72.06850000000001,76.0614,81.3626,93.48490762216548,0.15213907442420416,0.039651950591138796,0.014909724102492779
